"terrain_ruggedness_index","sws_mean","o2_mean","si_mean","thetao_mean","Freq","resp.var"
10,0,260,10,10,183,"in"
710,0.9,390,20,2,234,"out"
40,0.1,310,0,4,233,"in"
130,0.2,240,10,4,232,"in"
560,0.3,30,260,8,234,"out"
20,0,270,10,10,230,"in"
100,0,200,10,12,233,"in"
90,0.5,30,30,14,234,"out"
0,0,340,10,0,232,"in"
260,0.1,300,10,2,232,"in"
570,1.1,180,120,10,234,"out"
20,0,260,10,10,208,"in"
310,0,180,10,12,233,"in"
1120,0.6,260,50,10,234,"out"
170,0,190,10,12,233,"in"
50,0,270,0,10,232,"in"
70,0.1,300,10,4,231,"in"
980,0.4,190,190,14,234,"out"
250,0.2,300,10,2,232,"in"
20,0,220,10,12,231,"in"
40,0.1,310,0,2,233,"in"
320,1,200,110,-2,234,"out"
30,0,200,10,14,233,"in"
400,0.7,350,40,10,234,"out"
1030,0.8,270,210,20,234,"out"
10,0,200,10,12,231,"in"
10,0,320,10,0,227,"in"
110,1.3,190,100,6,234,"out"
350,0.6,360,180,-2,234,"out"
680,0.9,370,30,0,234,"out"
240,0.2,300,10,2,232,"in"
110,0,210,10,8,232,"in"
20,0.1,290,0,6,233,"in"
810,1.3,290,240,0,234,"out"
890,1.1,60,160,0,234,"out"
40,0.1,230,10,14,233,"in"
400,0.8,20,0,14,234,"out"
1050,0.4,290,230,18,234,"out"
570,0.5,180,20,2,234,"out"
180,0.5,0,290,16,234,"out"
10,0,270,10,10,221,"in"
40,0,300,10,4,233,"in"
550,1.1,270,70,0,234,"out"
230,0,250,20,4,227,"in"
560,0.1,80,170,12,234,"out"
990,1.1,210,130,-2,234,"out"
650,0.9,120,230,16,234,"out"
1090,1,20,240,14,234,"out"
880,0.2,40,30,0,234,"out"
470,0.7,290,120,2,234,"out"
330,0.6,250,190,10,234,"out"
510,0,70,230,16,234,"out"
10,0,310,0,2,233,"in"
20,0,310,0,4,233,"in"
1090,0.6,140,110,0,234,"out"
250,0.1,190,10,10,233,"in"
870,0.1,350,170,4,234,"out"
600,1.2,320,10,4,234,"out"
20,0,260,10,10,208,"in"
250,0.1,300,10,2,231,"in"
190,0.3,390,130,18,234,"out"
30,0,220,10,8,230,"in"
670,1,230,150,4,234,"out"
10,0,310,10,2,201,"in"
120,0.1,30,220,10,234,"out"
600,1.3,280,90,12,234,"out"
270,0,180,110,-2,234,"out"
400,0.8,170,240,0,234,"out"
30,0,220,10,8,230,"in"
110,0,210,10,8,232,"in"
10,0,220,10,6,232,"in"
110,0.1,300,10,4,226,"in"
20,0,270,10,8,233,"in"
70,0.1,300,10,2,230,"in"
70,0.1,280,10,6,232,"in"
40,0,190,10,10,232,"in"
310,1.3,80,250,10,234,"out"
40,0,190,10,10,232,"in"
500,0.4,150,160,18,234,"out"
1210,0.9,340,20,12,234,"out"
240,0.5,310,180,18,234,"out"
60,0,190,10,10,230,"in"
130,0.2,240,10,4,232,"in"
230,0.9,200,0,4,234,"out"
10,0,290,10,8,227,"in"
50,0.1,260,10,8,230,"in"
30,0,310,10,2,233,"in"
20,0.1,290,10,2,218,"in"
110,0.2,290,10,4,232,"in"
910,0.2,360,220,14,234,"out"
430,0.6,30,120,16,234,"out"
40,0,250,10,10,232,"in"
650,1.2,290,90,10,234,"out"
260,0.1,280,10,4,232,"in"
1210,1.1,180,30,8,234,"out"
230,0.4,210,50,16,234,"out"
20,0,300,10,4,220,"in"
1080,0.4,280,50,6,234,"out"
50,0.1,300,0,6,233,"in"
10,0,300,10,2,166,"in"
80,0.1,300,10,4,233,"in"
480,0,100,210,20,234,"out"
1220,1,280,200,14,234,"out"
1220,0.7,230,70,10,234,"out"
300,0.1,40,20,18,234,"out"
30,0,280,10,6,224,"in"
130,0,210,10,8,233,"in"
820,0,120,190,0,234,"out"
1100,0.6,190,20,2,234,"out"
40,0,280,10,6,230,"in"
0,0,280,10,4,176,"in"
840,1.2,160,140,2,234,"out"
70,0.9,140,40,12,234,"out"
40,0.1,230,10,14,233,"in"
280,0.3,330,170,16,234,"out"
620,1,190,60,0,234,"out"
40,0.1,230,10,14,233,"in"
30,0,300,10,4,230,"in"
30,0.1,300,10,2,231,"in"
20,0,290,10,6,229,"in"
340,0,300,10,2,233,"in"
0,0.1,300,10,0,232,"in"
0,0,190,30,12,234,"out"
0,0,260,10,10,208,"in"
10,0,320,10,2,233,"in"
50,0,270,10,4,233,"in"
110,0,260,250,12,234,"out"
110,0.1,300,10,4,226,"in"
790,0.3,320,280,2,234,"out"
90,0.1,300,10,4,230,"in"
100,1.3,260,290,6,234,"out"
30,1.1,120,130,12,234,"out"
130,0,180,10,12,233,"in"
20,0,200,10,14,233,"in"
80,0,200,10,12,233,"in"
50,0,290,10,6,233,"in"
20,0,290,10,2,229,"in"
170,0.1,240,10,8,230,"in"
40,0,220,10,8,233,"in"
1080,0.3,110,60,16,234,"out"
10,0,270,0,10,226,"in"
950,1.1,130,180,2,234,"out"
0,0.1,310,10,2,224,"in"
710,0.1,300,190,16,234,"out"
40,0,300,10,4,233,"in"
10,0,270,10,10,221,"in"
1000,1.2,120,60,6,234,"out"
10,0,290,10,6,142,"in"
560,0.2,260,0,2,234,"out"
820,0,410,290,-2,234,"out"
70,0.1,300,10,4,231,"in"
160,0.2,300,10,4,233,"in"
20,0,190,10,10,226,"in"
1230,0.8,370,30,10,234,"out"
350,0.8,390,290,0,234,"out"
1060,0.1,350,20,18,234,"out"
440,0.8,390,70,8,234,"out"
30,0,230,10,10,232,"in"
50,0,270,0,10,232,"in"
170,0.5,230,40,-2,234,"out"
20,0,250,10,10,225,"in"
80,0.1,300,10,2,218,"in"
450,0,320,20,4,234,"out"
280,0,300,10,2,230,"in"
20,1.3,350,140,4,234,"out"
30,0,190,10,10,232,"in"
20,0,290,10,4,227,"in"
100,0,210,10,12,230,"in"
160,0.1,210,10,8,233,"in"
110,0.1,200,10,10,231,"in"
240,1.3,170,80,14,234,"out"
930,0.3,80,140,-2,234,"out"
0,0,310,0,2,233,"in"
0,0.9,390,60,14,234,"out"
130,0,180,10,12,233,"in"
820,0,310,220,14,234,"out"
960,1.1,80,290,18,234,"out"
60,0.1,300,0,6,233,"in"
40,0,190,10,10,232,"in"
650,0,120,10,14,234,"out"
120,1.2,30,270,0,234,"out"
110,0.1,200,10,10,231,"in"
0,0.1,310,10,2,224,"in"
100,0.1,300,10,4,229,"in"
10,0,300,10,4,210,"in"
10,0,310,0,2,233,"in"
30,0.1,300,10,2,231,"in"
30,0,220,10,8,230,"in"
70,0.6,360,270,10,234,"out"
10,0,270,10,4,233,"in"
20,0,200,10,12,233,"in"
180,0.1,290,10,4,228,"in"
250,0.1,190,10,10,233,"in"
140,0.2,290,10,4,233,"in"
350,0.1,150,90,12,234,"out"
40,0,300,10,2,230,"in"
110,0.2,300,10,4,231,"in"
120,0.1,190,210,8,234,"out"
1090,0.4,180,220,0,234,"out"
30,0,300,10,0,231,"in"
380,0.2,200,230,10,234,"out"
0,0,280,10,4,176,"in"
90,0,220,10,6,232,"in"
20,0,300,10,2,211,"in"
110,0,190,10,10,233,"in"
1240,1,180,290,20,234,"out"
830,0.9,330,80,0,234,"out"
260,0.1,240,50,10,234,"out"
30,0,300,10,2,220,"in"
160,0.2,290,10,4,232,"in"
40,0,220,10,14,232,"in"
110,0.2,290,10,4,232,"in"
810,1,0,0,4,234,"out"
880,1.3,320,110,10,234,"out"
10,0.1,290,10,6,211,"in"
10,0,290,10,0,233,"in"
1080,0.2,350,60,20,234,"out"
1130,1.1,340,260,10,234,"out"
90,0.1,310,10,4,233,"in"
1060,0.6,300,300,8,234,"out"
70,0.2,260,10,8,232,"in"
990,1.1,390,180,18,234,"out"
230,0,250,20,4,227,"in"
40,0,280,10,6,230,"in"
180,1.1,70,260,14,234,"out"
20,0,200,10,12,233,"in"
40,0.1,260,10,8,207,"in"
490,0.1,380,120,14,234,"out"
30,0,220,10,8,230,"in"
180,0.2,220,220,14,234,"out"
10,0,310,0,2,233,"in"
880,1.3,340,250,12,234,"out"
100,0,210,10,8,233,"in"
320,0,400,290,2,234,"out"
170,0,190,10,12,233,"in"
700,1.3,30,160,8,234,"out"
20,0,250,10,10,225,"in"
120,1.2,260,150,8,234,"out"
140,0.2,290,10,4,233,"in"
70,0.1,300,0,6,231,"in"
0,0,340,10,0,232,"in"
570,0.4,180,140,2,234,"out"
1150,0.3,100,250,4,234,"out"
90,0,190,10,10,233,"in"
