"terrain_ruggedness_index","sws_mean","o2_mean","si_mean","thetao_mean"
10,0,270,10,8
10,0,260,10,8
10,0,260,10,8
0,0,260,10,8
20,0,260,10,10
50,0,270,0,10
20,0,250,10,10
0,0,260,10,10
10,0,260,10,10
20,0,260,10,10
20,0,250,10,10
20,0,260,10,10
10,0,260,10,10
10,0,260,10,10
10,0,260,10,10
30,0,250,10,10
10,0,260,10,10
0,0,260,10,10
10,0,270,10,10
200,0.1,230,10,10
10,0,270,10,8
20,0,260,10,10
10,0,270,0,10
30,0,250,10,10
20,0,260,10,10
0,0,260,10,10
10,0,260,10,10
10,0,260,10,10
0,0,260,10,10
0,0,260,10,10
0,0,260,10,10
0,0,260,10,10
10,0,260,10,10
0,0,260,10,10
10,0,260,10,8
20,0,260,10,10
30,0,270,10,10
20,0,250,10,10
190,0,220,10,6
130,0,210,10,8
40,0,260,10,4
10,0,260,10,10
10,0,270,10,10
10,0,260,10,8
10,0,270,10,8
10,0,270,10,8
10,0,270,10,10
10,0,260,10,10
10,0,270,10,10
30,0,260,10,10
30,0,250,10,10
20,0,260,10,10
10,0,260,10,8
10,0,260,10,10
40,0,250,10,10
10,0,260,10,8
20,0,260,10,10
20,0,260,10,10
20,0,260,10,10
0,0,260,10,10
0,0,260,10,10
0,0,260,10,10
0,0,260,10,10
0,0,260,10,10
100,0,210,10,8
20,0,260,10,10
10,0,270,10,8
10,0,260,10,8
10,0,260,10,8
10,0,260,10,8
20,0,260,10,10
50,0,270,0,10
0,0,260,10,10
0,0,260,10,10
0,0,260,10,10
0,0,260,10,10
0,0,260,10,10
0,0,260,10,10
20,0,260,10,10
20,0,260,10,10
10,0,260,10,10
10,0,260,10,10
10,0,260,10,10
30,0,260,10,10
10,0,260,10,10
10,0,260,10,10
10,0,270,0,10
90,0,220,10,6
10,0,270,10,10
10,0,270,0,10
10,0,270,10,10
20,0,260,10,10
10,0,260,10,8
10,0,260,10,8
0,0,260,10,8
10,0,260,10,8
10,0,260,10,8
10,0,260,10,8
20,0,260,10,10
30,0,270,10,10
0,0,260,10,10
0,0,260,10,10
10,0,260,10,10
0,0,260,10,10
10,0,260,10,10
10,0,260,10,10
20,0,260,10,10
20,0,260,10,10
0,0,260,10,10
10,0,260,10,10
30,0,250,10,10
10,0,260,10,10
0,0,260,10,10
10,0,260,10,10
0,0,270,10,8
10,0,260,10,10
10,0,260,10,10
140,0,210,10,8
110,0.1,200,10,10
20,0,270,10,10
20,0,250,10,10
0,0,260,10,8
10,0,270,0,10
10,0,270,10,10
10,0,260,10,10
10,0,270,10,10
10,0,260,10,10
10,0,270,10,10
10,0,270,10,10
10,0,260,10,10
10,0,260,10,10
10,0,260,10,10
10,0,250,10,10
190,0,240,10,10
190,0,240,10,10
10,0,260,10,10
20,0,270,10,10
120,0,230,10,6
10,0,270,10,10
10,0,270,10,10
20,0,250,10,10
10,0,270,0,10
10,0,270,0,10
20,0,270,10,8
10,0,250,10,10
10,0,260,10,10
10,0,260,10,10
20,0,260,10,10
10,0,260,10,10
