"","X","status","HighestTaxonomicResolution","Species","CruiseID","Ship","SurveyMethod","MiddleLatitude","MiddleLongitude","morphotype","ObsYear","Decade","ID","terrain_ruggedness_index","sws_mean","o2_mean","si_mean","thetao_mean","cover"
"1",1,"Present","Species","Suberites pagurorum","","748S","BOT",57.7083,-13.6667,"massive",2005,2000,1,7.96181106567383,0.00533997407183051,266.012145996094,5.37978458404541,8.9779691696167,"Coarse-grained sediment"
"2",2,"Present","Species","Axinella polypoides","","748S","BOT",57.4,-14.2167,"arborescent",2005,2000,2,7.16319465637207,0.00919633265584707,261.947692871094,5.75634717941284,8.98319149017334,"Mud to muddy Sand"
"3",3,"Present","Species","Suberites pagurorum","","748S","BOT",57.6167,-14.0833,"massive",2005,2000,3,5.62153244018555,0.0107897119596601,264.571716308594,5.48229169845581,8.93854808807373,"Mud to muddy Sand"
"4",4,"Present","Species","Suberites pagurorum","","748S","BOT",57.4,-14.2167,"massive",2005,2000,4,7.16319465637207,0.00919633265584707,261.947692871094,5.75634717941284,8.98319149017334,"Mud to muddy Sand"
"5",5,"Present","Species","Suberites pagurorum","","748S","BOT",57.3583,-14.1,"massive",2005,2000,5,3.92013931274414,0.0105482572689652,263.931121826172,5.92829895019531,8.97907257080078,"Mud to muddy Sand"
"6",6,"Present","Species","Suberites pagurorum","","748S","BOT",57.225,-14.1583,"massive",2005,2000,6,20.8125038146973,0.00599036458879709,258.502838134766,6.98281335830688,9.02092933654785,"Mud to muddy Sand"
"7",7,"Present","Species","Suberites pagurorum","","748S","BOT",57.15,-14.1667,"massive",2005,2000,7,45.4826354980469,0.00107957364525646,271.167724609375,4.60615396499634,9.19875621795654,"Mud to muddy Sand"
"8",8,"Present","Species","Suberites pagurorum","","748S","BOT",57.0917,-13.9083,"massive",2005,2000,8,20.6666622161865,0.00781428162008524,253.985763549805,5.26426887512207,9.17744922637939,"Mud to muddy Sand"
"9",9,"Present","Species","Suberites pagurorum","","748S","BOT",56.5833,-14.7167,"massive",2005,2000,9,2.10416603088379,0.00992735382169485,259.480712890625,5.57188844680786,9.21042442321777,"Mud to muddy Sand"
"10",10,"Present","Species","Suberites pagurorum","","748S","BOT",56.5917,-14.4917,"massive",2005,2000,10,5.46527862548828,0.00641101598739624,258.612457275391,5.31452035903931,9.29082870483398,"Mud to muddy Sand"
"11",11,"Present","Species","Suberites pagurorum","","748S","BOT",56.8833,-14.125,"massive",2005,2000,11,15.0625,0.00443530641496181,257.537994384766,6.19198656082153,9.27020835876465,"Mud to muddy Sand"
"12",12,"Present","Species","Suberites pagurorum","","748S","BOT",56.9667,-14.1083,"massive",2005,2000,12,16.9618053436279,0.0130189526826143,254.9169921875,5.74078512191772,9.19799327850342,"Mud to muddy Sand"
"13",13,"Present","Species","Suberites pagurorum","","748S","BOT",57.075,-14.1083,"massive",2005,2000,13,23.8437538146973,0.00744293304160237,259.716094970703,6.47109842300415,9.13268852233887,"Mud to muddy Sand"
