"","status","HighestTaxonomicResolution","Species","Ship","SurveyMethod","MiddleLatitude","MiddleLongitude","morphotype","ObsYear","Decade","presence"
"1","Present","Species","Suberites pagurorum","748S","BOT",57.7083,-13.6667,"massive",2005,2000,"present"
"2","Present","Species","Axinella polypoides","748S","BOT",57.4,-14.2167,"arborescent",2005,2000,"present"
"3","Present","Species","Suberites pagurorum","748S","BOT",57.6167,-14.0833,"massive",2005,2000,"present"
"4","Present","Species","Suberites pagurorum","748S","BOT",57.4,-14.2167,"massive",2005,2000,"present"
"5","Present","Species","Suberites pagurorum","748S","BOT",57.3583,-14.1,"massive",2005,2000,"present"
"6","Present","Species","Suberites pagurorum","748S","BOT",57.225,-14.1583,"massive",2005,2000,"present"
"7","Present","Species","Suberites pagurorum","748S","BOT",57.15,-14.1667,"massive",2005,2000,"present"
"8","Present","Species","Suberites pagurorum","748S","BOT",57.0917,-13.9083,"massive",2005,2000,"present"
"9","Present","Species","Suberites pagurorum","748S","BOT",56.5833,-14.7167,"massive",2005,2000,"present"
"10","Present","Species","Suberites pagurorum","748S","BOT",56.5917,-14.4917,"massive",2005,2000,"present"
"11","Present","Species","Suberites pagurorum","748S","BOT",56.8833,-14.125,"massive",2005,2000,"present"
"12","Present","Species","Suberites pagurorum","748S","BOT",56.9667,-14.1083,"massive",2005,2000,"present"
"13","Present","Species","Suberites pagurorum","748S","BOT",57.075,-14.1083,"massive",2005,2000,"present"
"14","Present","Species","Suberites pagurorum","748S","BOT",56.8,-14.275,"massive",2005,2000,"present"
"15","Present","Species","Suberites pagurorum","748S","BOT",56.75,-14.475,"massive",2005,2000,"present"
"16","Present","Species","Suberites pagurorum","748S","BOT",56.95,-13.7667,"massive",2005,2000,"present"
"17","Present","Species","Suberites pagurorum","748S","BOT",57.1417,-13.5167,"massive",2005,2000,"present"
"18","Present","Species","Suberites pagurorum","748S","BOT",57.25,-13.575,"massive",2005,2000,"present"
"19","Present","Species","Suberites pagurorum","748S","BOT",57.3333,-13.8583,"massive",2005,2000,"present"
"20","Present","Species","Suberites pagurorum","748S","BOT",57.4083,-13.6167,"massive",2005,2000,"present"
