"","X","status","HighestTaxonomicResolution","Species","CruiseID","Ship","SurveyMethod","latitude","longitude","morphotype","ObsYear","Decade","topographic_position_index","terrain_ruggedness_index","aspect","bathymetry_mean","current_direction","current_velocity","dissolvedO2","iron","nitrate","pH","phosphate","primaryprod","salinity","silicate","slope","temperature","substrate"
"1",1,"Present","Species","Suberites pagurorum","","748S","BOT",57.7083,-13.6667,"massive",2005,2000,-5.21181106567383,7.96181106567383,338.657012939453,-137.972229003906,107.601844787598,0.00533997407183051,266.012145996094,0.00151538662612438,9.19168376922607,8.04087257385254,0.680433928966522,0.467309713363647,35.3054656982422,5.37978458404541,0.104464218020439,8.9779691696167,"3"
"2",2,"Present","Species","Axinella polypoides","","748S","BOT",57.4,-14.2167,"arborescent",2005,2000,1.32291603088379,7.16319465637207,274.310913085938,-181.444442749023,19.3680820465088,0.00919633265584707,261.947692871094,0.0013865401269868,9.44109058380127,8.03823280334473,0.693114161491394,0.374653160572052,35.3002243041992,5.75634717941284,0.160845026373863,8.98319149017334,"1"
"3",3,"Present","Species","Suberites pagurorum","","748S","BOT",57.6167,-14.0833,"massive",2005,2000,-4.40625381469727,5.62153244018555,266.866973876953,-166.861114501953,214.712951660156,0.0107897119596601,264.571716308594,0.0013802305329591,9.42508792877197,8.04060173034668,0.683280766010284,0.390873908996582,35.3013191223145,5.48229169845581,0.108634054660797,8.93854808807373,"1"
"4",4,"Present","Species","Suberites pagurorum","","748S","BOT",57.4,-14.2167,"massive",2005,2000,1.32291603088379,7.16319465637207,274.310913085938,-181.444442749023,19.3680820465088,0.00919633265584707,261.947692871094,0.0013865401269868,9.44109058380127,8.03823280334473,0.693114161491394,0.374653160572052,35.3002243041992,5.75634717941284,0.160845026373863,8.98319149017334,"1"
"5",5,"Present","Species","Suberites pagurorum","","748S","BOT",57.3583,-14.1,"massive",2005,2000,-0.899307250976562,3.92013931274414,261.358551025391,-158.5,221.856918334961,0.0105482572689652,263.931121826172,0.00183647766243666,9.27134704589844,8.03518009185791,0.697860360145569,0.439398258924484,35.3050308227539,5.92829895019531,0.0938803851604462,8.97907257080078,"1"
"6",6,"Present","Species","Suberites pagurorum","","748S","BOT",57.225,-14.1583,"massive",2005,2000,-18.7430610656738,20.8125038146973,323.032470703125,-172.361114501953,214.389251708984,0.00599036458879709,258.502838134766,0.00226680096238852,9.37923526763916,8.02634334564209,0.737003982067108,0.401214390993118,35.3057403564453,6.98281335830688,0.283597409725189,9.02092933654785,"1"
"7",7,"Present","Species","Suberites pagurorum","","748S","BOT",57.15,-14.1667,"massive",2005,2000,45.4826354980469,45.4826354980469,307.878540039062,-109.611114501953,91.1824035644531,0.00107957364525646,271.167724609375,0.000923010404221714,8.99051570892334,8.04731369018555,0.643560886383057,0.525570690631866,35.3070678710938,4.60615396499634,0.206586614251137,9.19875621795654,"1"
"8",8,"Present","Species","Suberites pagurorum","","748S","BOT",57.0917,-13.9083,"massive",2005,2000,-12.8472156524658,20.6666622161865,256.087951660156,-206.027770996094,240.658386230469,0.00781428162008524,253.985763549805,0.00101229583378881,9.5180835723877,8.0386438369751,0.673994421958923,0.321201622486115,35.3190155029297,5.26426887512207,0.241853654384613,9.17744922637939,"1"
"9",9,"Present","Species","Suberites pagurorum","","748S","BOT",56.5833,-14.7167,"massive",2005,2000,-0.840276718139648,2.10416603088379,114.372673034668,-195.444442749023,165.730163574219,0.00992735382169485,259.480712890625,0.00127862195950001,9.47957515716553,8.03827095031738,0.681105971336365,0.372912555932999,35.3158493041992,5.57188844680786,0.0420290902256966,9.21042442321777,"1"
"10",10,"Present","Species","Suberites pagurorum","","748S","BOT",56.5917,-14.4917,"massive",2005,2000,3.78472900390625,5.46527862548828,128.872940063477,-196.527770996094,63.3806991577148,0.00641101598739624,258.612457275391,0.00109723582863808,9.38751697540283,8.03937244415283,0.670145511627197,0.351514488458633,35.3216400146484,5.31452035903931,0.0988469198346138,9.29082870483398,"1"
"11",11,"Present","Species","Suberites pagurorum","","748S","BOT",56.8833,-14.125,"massive",2005,2000,14.7986106872559,15.0625,36.521369934082,-184.694442749023,226.689041137695,0.00443530641496181,257.537994384766,0.00166604679543525,9.43242168426514,8.03226661682129,0.703952968120575,0.369439601898193,35.3226928710938,6.19198656082153,0.222447037696838,9.27020835876465,"1"
"12",12,"Present","Species","Suberites pagurorum","","748S","BOT",56.9667,-14.1083,"massive",2005,2000,-3.28125190734863,16.9618053436279,131.373809814453,-215,221.964141845703,0.0130189526826143,254.9169921875,0.00118672556709498,9.56502151489258,8.03543472290039,0.691104292869568,0.335347771644592,35.3198928833008,5.74078512191772,0.223206400871277,9.19799327850342,"1"
"13",13,"Present","Species","Suberites pagurorum","","748S","BOT",57.075,-14.1083,"massive",2005,2000,11.725700378418,23.8437538146973,157.593780517578,-168.527770996094,213.913146972656,0.00744293304160237,259.716094970703,0.0020050120074302,9.36991691589355,8.03008460998535,0.714371562004089,0.396152943372726,35.3150978088379,6.47109842300415,0.218235522508621,9.13268852233887,"1"
