"","species","countryCode","decimalLatitude","decimalLongitude"
"1","Buceros rhinoceros","MY",5.448009,118.349425
"2","Anthracoceros malayanus","MY",5.943438,117.840081
"3","Buceros rhinoceros","MY",3.410825,101.939029
"4","Anthracoceros malayanus","MY",5.134681,118.523157
"5","Buceros rhinoceros","MY",5.255561,118.139812
"6","Anthracoceros albirostris","MY",5.931892,117.798009
"7","Anthracoceros malayanus","MY",2.290821,111.660365
"8","Anthracoceros malayanus","MY",5.892007,117.944238
"9","Anthracoceros albirostris","MY",5.482972,118.263705
"10","Anorrhinus galeritus","MY",5.39547,118.470078
"11","Rhabdotorrhinus corrugatus","MY",2.646728,111.685359
"12","Anthracoceros malayanus","MY",5.420059,118.244126
"13","Anthracoceros albirostris","MY",5.934629,117.800592
"14","Buceros rhinoceros","MY",3.053743,101.867565
"15","Buceros rhinoceros","MY",3.583567,101.843957
"16","Anthracoceros malayanus","MY",2.375753,111.600111
"17","Anorrhinus galeritus","MY",5.474504,101.447673
"18","Buceros rhinoceros","MY",3.578852,101.904132
"19","Berenicornis comatus","MY",5.676886,117.248295
"20","Rhinoplax vigil","MY",5.413368,118.341493
"21","Buceros rhinoceros","MY",5.572843,118.381589
"22","Anthracoceros albirostris","MY",6.11492,116.107794
"23","Buceros rhinoceros","MY",5.135516,118.518997
"24","Buceros rhinoceros","MY",5.515859,118.322842
"25","Anthracoceros malayanus","MY",2.28513,111.669733
"26","Anthracoceros albirostris","MY",4.964193,117.802703
"27","Rhinoplax vigil","MY",5.465281,118.240401
"28","Buceros rhinoceros","MY",3.7006,101.0827
"29","Anthracoceros malayanus","MY",2.321366,111.762153
"30","Rhabdotorrhinus corrugatus","MY",2.644486,111.629117
"31","Rhabdotorrhinus corrugatus","MY",2.686841,111.736958
"32","Anthracoceros albirostris","MY",4.852838,100.74696
"33","Anthracoceros albirostris","MY",4.852488,100.749515
"34","Anthracoceros albirostris","MY",5.935347,117.803111
"35","Anthracoceros albirostris","MY",4.840397,100.635997
"36","Anthracoceros albirostris","MY",4.854038,100.749527
"37","Anthracoceros albirostris","MY",2.2064,102.241114
"38","Rhabdotorrhinus corrugatus","MY",2.611267,111.795423
"39","Anthracoceros albirostris","MY",4.962707,117.802987
"40","Rhabdotorrhinus corrugatus","MY",5.439873,118.198749
"41","Rhabdotorrhinus corrugatus","MY",5.475043,118.089521
"42","Rhabdotorrhinus corrugatus","MY",5.435704,118.093224
"43","Anthracoceros malayanus","MY",5.513895,118.134686
"44","Berenicornis comatus","MY",5.572733,118.069709
"45","Rhabdotorrhinus corrugatus","MY",5.405359,118.206432
"46","Rhabdotorrhinus corrugatus","MY",5.518528,118.112162
"47","Anthracoceros malayanus","MY",5.527834,118.13447
"48","Anthracoceros albirostris","MY",5.452192,118.250533
"49","Anthracoceros albirostris","MY",5.001969,117.92029
"50","Anthracoceros albirostris","MY",5.498194,118.280194
"51","Anorrhinus galeritus","MY",5.033668,117.677674
"52","Anthracoceros malayanus","MY",1.998585,103.90577
"53","Berenicornis comatus","MY",5.428696,118.171439
"54","Rhabdotorrhinus corrugatus","MY",5.475479,118.065488
"55","Anthracoceros albirostris","MY",4.380747,102.404057
"56","Anthracoceros albirostris","MY",5.49014,118.272788
"57","Anthracoceros malayanus","MY",2.281088,111.711735
"58","Anthracoceros albirostris","MY",5.598349,118.170605
"59","Anthracoceros malayanus","MY",2.235115,111.700178
"60","Anthracoceros albirostris","MY",1.972754,102.661644
"61","Rhabdotorrhinus corrugatus","MY",5.439476,117.863841
"62","Anthracoceros albirostris","MY",4.962924,117.802996
"63","Buceros rhinoceros","MY",5.522831,118.327926
"64","Anthracoceros albirostris","MY",4.070314,101.799457
"65","Anthracoceros albirostris","MY",6.020382,116.047459
"66","Anthracoceros albirostris","MY",4.851202,100.746179
"67","Anthracoceros albirostris","MY",6.020022,116.046367
"68","Anthracoceros albirostris","MY",5.452238,118.175753
"69","Anthracoceros albirostris","MY",5.073825,119.073914
"70","Anthracoceros albirostris","MY",4.196388,100.577063
"71","Buceros bicornis","MY",4.386181,100.535503
"72","Buceros rhinoceros","MY",5.513207,118.307033
"73","Anthracoceros malayanus","MY",4.052396,114.833157
"74","Anthracoceros albirostris","MY",5.457212,118.16024
"75","Anthracoceros albirostris","MY",5.452352,118.175582
"76","Buceros rhinoceros","MY",5.495238,118.31819
"77","Anthracoceros albirostris","MY",5.554263,118.32457
"78","Anthracoceros albirostris","MY",5.495838,118.282486
"79","Rhabdotorrhinus corrugatus","MY",5.496008,118.282906
"80","Anthracoceros malayanus","MY",5.872185,117.943375
"81","Anthracoceros albirostris","MY",5.5524,118.323143
"82","Anthracoceros albirostris","MY",4.212211,100.572925
"83","Anthracoceros albirostris","MY",5.452283,118.250412
"84","Buceros rhinoceros","MY",5.45239,118.251587
"85","Buceros rhinoceros","MY",4.67543,102.060883
"86","Anthracoceros malayanus","MY",4.391581,102.399162
"87","Anthracoceros albirostris","MY",4.447136,102.436905
"88","Rhabdotorrhinus corrugatus","MY",5.555185,118.33432
"89","Anorrhinus galeritus","MY",5.508562,118.297388
"90","Anthracoceros malayanus","MY",4.962867,117.806987
"91","Anthracoceros albirostris","MY",4.962474,117.802917
"92","Berenicornis comatus","MY",5.454796,118.241104
"93","Anthracoceros albirostris","MY",4.965468,117.803474
"94","Anthracoceros malayanus","MY",5.866486,117.952887
"95","Anthracoceros albirostris","MY",4.962632,117.802773
"96","Buceros rhinoceros","MY",5.52418,118.295288
"97","Rhabdotorrhinus corrugatus","MY",5.55017,118.319061
"98","Buceros rhinoceros","MY",5.553782,118.32428
"99","Anthracoceros albirostris","MY",5.8759,117.94765
"100","Buceros rhinoceros","MY",5.87226,117.94326
"101","Anthracoceros albirostris","MY",5.556347,118.335526
"102","Anthracoceros albirostris","MY",5.46994,118.257088
"103","Rhabdotorrhinus corrugatus","MY",5.555177,118.334572
"104","Anorrhinus galeritus","MY",5.495727,118.282524
"105","Berenicornis comatus","MY",4.960121,117.802887
"106","Buceros rhinoceros","MY",5.50774,118.283524
"107","Rhabdotorrhinus corrugatus","MY",5.555007,118.335602
"108","Anthracoceros albirostris","MY",5.540625,118.306694
"109","Anthracoceros malayanus","MY",4.963165,117.803123
"110","Anthracoceros albirostris","MY",5.452402,118.249695
"111","Anthracoceros albirostris","MY",5.557553,118.327576
"112","Anthracoceros malayanus","MY",5.872177,117.94339
"113","Buceros rhinoceros","MY",5.553668,118.333321
"114","Buceros rhinoceros","MY",5.49572,118.282455
"115","Anthracoceros albirostris","MY",6.36695,99.6811
"116","Anthracoceros albirostris","MY",5.555348,118.336746
"117","Anthracoceros albirostris","MY",5.476748,118.214834
"118","Anthracoceros albirostris","MY",4.96314,117.803101
"119","Anthracoceros albirostris","MY",6.282431,99.750298
"120","Anthracoceros malayanus","MY",5.87374,117.942535
"121","Anthracoceros albirostris","MY",5.02976,118.325325
"122","Anthracoceros albirostris","MY",4.964428,117.8032
"123","Berenicornis comatus","MY",5.454883,118.240677
"124","Buceros rhinoceros","MY",5.537017,118.293976
"125","Anthracoceros malayanus","MY",4.965579,117.79332
"126","Anthracoceros malayanus","MY",4.678765,102.060005
"127","Buceros rhinoceros","MY",5.540711,118.307465
"128","Rhabdotorrhinus corrugatus","MY",5.454628,118.24176
"129","Anthracoceros albirostris","MY",5.480803,118.25753
"130","Anthracoceros malayanus","MY",4.962481,117.803764
"131","Buceros rhinoceros","MY",5.551275,118.322235
"132","Buceros rhinoceros","MY",5.557185,118.334671
"133","Anthracoceros albirostris","MY",5.552762,118.333748
"134","Anthracoceros malayanus","MY",5.538962,118.300888
"135","Rhabdotorrhinus corrugatus","MY",5.555007,118.334072
"136","Anthracoceros albirostris","MY",6.366497,99.681938
"137","Rhabdotorrhinus corrugatus","MY",5.543708,118.091354
"138","Buceros rhinoceros","MY",5.471705,118.266594
"139","Rhabdotorrhinus corrugatus","MY",5.500504,118.278236
"140","Rhabdotorrhinus corrugatus","MY",5.485161,118.25602
"141","Rhabdotorrhinus corrugatus","MY",5.552536,118.333946
"142","Anthracoceros albirostris","MY",4.962649,117.802521
"143","Buceros rhinoceros","MY",5.118,118.482728
"144","Anthracoceros albirostris","MY",4.195453,100.549183
"145","Rhabdotorrhinus corrugatus","MY",5.537786,118.298981
"146","Anthracoceros albirostris","MY",4.96534,117.803047
"147","Anorrhinus galeritus","MY",5.494347,118.24144
"148","Anthracoceros malayanus","MY",4.962724,117.806885
"149","Buceros rhinoceros","MY",5.535517,118.291626
"150","Anthracoceros albirostris","MY",4.963572,117.807289
"151","Buceros rhinoceros","MY",4.397206,102.402178
"152","Anthracoceros albirostris","MY",5.876282,117.948601
"153","Anthracoceros albirostris","MY",1.945958,104.109596
"154","Anthracoceros albirostris","MY",6.367107,99.681138
"155","Anthracoceros albirostris","MY",4.963215,117.802963
"156","Buceros bicornis","MY",4.196336,100.542972
"157","Buceros rhinoceros","MY",5.555247,118.336327
"158","Anthracoceros malayanus","MY",4.960872,117.80141
"159","Anthracoceros albirostris","MY",6.36713,99.681222
"160","Buceros rhinoceros","MY",5.488942,118.225372
"161","Anthracoceros albirostris","MY",5.540792,118.306175
"162","Anthracoceros albirostris","MY",5.456875,118.232521
"163","Anthracoceros malayanus","MY",4.96318,117.803139
"164","Anthracoceros malayanus","MY",4.963213,117.803185
"165","Anthracoceros albirostris","MY",5.466448,118.244759
"166","Anthracoceros albirostris","MY",5.873587,117.94258
"167","Anthracoceros albirostris","MY",5.500215,118.278358
"168","Anthracoceros albirostris","MY",5.495862,118.281487
"169","Rhabdotorrhinus corrugatus","MY",5.537868,118.2967
"170","Anthracoceros albirostris","MY",6.28247,99.750313
"171","Anthracoceros albirostris","MY",5.502726,101.43725
"172","Berenicornis comatus","MY",5.440701,118.135134
"173","Anthracoceros albirostris","MY",4.962711,117.80298
"174","Anthracoceros albirostris","MY",4.963481,117.801968
"175","Anorrhinus galeritus","MY",4.934065,117.801468
"176","Anthracoceros albirostris","MY",5.576023,101.341205
"177","Anorrhinus galeritus","MY",5.480154,118.13907
"178","Anthracoceros malayanus","MY",3.109032,101.734141
"179","Anthracoceros malayanus","MY",1.816831,103.950668
"180","Anthracoceros albirostris","MY",5.502726,101.43725
"181","Buceros rhinoceros","MY",5.532381,118.07893
"182","Anthracoceros albirostris","MY",3.116483,101.666977
"183","Anthracoceros albirostris","MY",5.447558,102.83078
"184","Anthracoceros albirostris","MY",1.697188,104.11545
"185","Berenicornis comatus","MY",5.502351,118.169508
"186","Berenicornis comatus","MY",5.424053,118.183987
"187","Berenicornis comatus","MY",5.485158,118.120599
"188","Anthracoceros albirostris","MY",2.045445,102.622917
"189","Berenicornis comatus","MY",5.505787,118.167454
"190","Anthracoceros albirostris","MY",4.962329,117.802481
"191","Anthracoceros albirostris","MY",2.235255,102.211792
"192","Buceros rhinoceros","MY",5.452539,118.164821
"193","Buceros rhinoceros","MY",1.775085,109.921748
"194","Anthracoceros albirostris","MY",5.867447,117.949014
"195","Anthracoceros albirostris","MY",5.598349,118.170605
"196","Buceros rhinoceros","MY",5.536581,118.033069
"197","Buceros rhinoceros","MY",5.425438,118.079166
"198","Anthracoceros albirostris","MY",5.712483,100.669631
"199","Anthracoceros malayanus","MY",2.65028,103.075194
"200","Anthracoceros malayanus","MY",2.629915,103.170726
"201","Anthracoceros malayanus","MY",2.77057,103.043412
"202","Anthracoceros malayanus","MY",2.728589,103.049979
"203","Anthracoceros albirostris","MY",5.495498,118.208457
"204","Anthracoceros malayanus","MY",2.354609,111.607729
"205","Rhabdotorrhinus corrugatus","MY",2.612976,111.656364
"206","Rhinoplax vigil","MY",5.054534,117.613564
"207","Rhabdotorrhinus corrugatus","MY",2.784813,111.782092
"208","Anthracoceros malayanus","MY",5.897937,117.834608
"209","Anthracoceros malayanus","MY",5.941378,117.933353
"210","Rhabdotorrhinus corrugatus","MY",2.760863,111.662041
"211","Rhabdotorrhinus corrugatus","MY",5.451235,118.332716
"212","Anthracoceros malayanus","MY",2.305195,111.714021
"213","Rhabdotorrhinus corrugatus","MY",2.679721,111.699806
"214","Rhabdotorrhinus corrugatus","MY",2.737921,111.63536
"215","Anthracoceros malayanus","MY",5.967205,117.90656
"216","Buceros rhinoceros","MY",4.6781,102.0581
"217","Anthracoceros albirostris","MY",5.508217,118.283067
"218","Anthracoceros malayanus","MY",5.871906,117.864542
"219","Buceros rhinoceros","MY",5.342474,118.155979
"220","Buceros rhinoceros","MY",5.378775,118.420471
"221","Anthracoceros malayanus","MY",5.984004,117.972112
"222","Buceros rhinoceros","MY",5.061299,118.532847
"223","Buceros rhinoceros","MY",5.909159,117.946863
"224","Buceros rhinoceros","MY",5.971982,117.904954
"225","Anthracoceros malayanus","MY",5.97641,117.867915
"226","Anthracoceros malayanus","MY",5.854764,117.959077
"227","Berenicornis comatus","MY",5.124803,118.598682
"228","Anthracoceros albirostris","MY",5.387505,118.147443
"229","Anthracoceros albirostris","MY",5.867206,117.948864
"230","Buceros rhinoceros","MY",5.900598,117.943077
"231","Anthracoceros malayanus","MY",5.999155,117.970402
"232","Anthracoceros albirostris","MY",5.780077,117.354488
"233","Anthracoceros albirostris","MY",5.117589,118.482554
"234","Buceros rhinoceros","MY",5.078499,118.511555
"235","Buceros rhinoceros","MY",5.810746,117.81103
"236","Anthracoceros malayanus","MY",5.801732,117.841692
"237","Buceros rhinoceros","MY",5.206942,118.515048
"238","Anthracoceros albirostris","MY",4.884276,117.854052
"239","Rhinoplax vigil","MY",5.441466,118.247749
"240","Anthracoceros malayanus","MY",5.358312,118.862634
"241","Anthracoceros malayanus","MY",2.341689,111.666128
"242","Anorrhinus galeritus","MY",5.536395,118.229387
"243","Buceros rhinoceros","MY",4.352182,117.865521
"244","Rhinoplax vigil","MY",5.599739,118.289248
"245","Anthracoceros albirostris","MY",4.846847,100.630113
"246","Buceros rhinoceros","MY",4.344393,117.810587
"247","Buceros rhinoceros","MY",4.76376,102.455254
"248","Buceros rhinoceros","MY",4.295164,117.893987
"249","Anthracoceros malayanus","MY",5.898966,117.969864
"250","Anthracoceros malayanus","MY",4.253555,117.939603
"251","Anthracoceros malayanus","MY",4.239577,117.853882
"252","Anthracoceros malayanus","MY",5.846787,117.96856
"253","Anthracoceros malayanus","MY",5.991919,117.926006
"254","Anthracoceros malayanus","MY",4.304196,117.859766
"255","Anthracoceros malayanus","MY",4.255711,117.95463
"256","Buceros rhinoceros","MY",5.386316,118.928227
"257","Anorrhinus galeritus","MY",4.329508,117.805025
"258","Rhyticeros undulatus","MY",4.307017,117.859352
"259","Anthracoceros malayanus","MY",4.158327,114.904934
"260","Anthracoceros albirostris","MY",6.43405,99.798547
"261","Anthracoceros albirostris","MY",5.267373,118.874813
"262","Rhyticeros undulatus","MY",4.386201,117.885165
"263","Anorrhinus galeritus","MY",4.277248,117.835519
"264","Anthracoceros malayanus","MY",1.890461,103.942465
"265","Berenicornis comatus","MY",4.287731,102.354993
"266","Berenicornis comatus","MY",5.268776,118.961794
"267","Anthracoceros albirostris","MY",5.502047,118.28703
"268","Buceros rhinoceros","MY",5.218105,118.928868
"269","Rhyticeros undulatus","MY",5.363322,117.566955
"270","Anthracoceros albirostris","MY",5.502047,118.28703
"271","Buceros rhinoceros","MY",5.42582,118.327474
"272","Buceros rhinoceros","MY",5.533443,118.380634
"273","Rhyticeros undulatus","MY",6.328826,99.963102
"274","Rhabdotorrhinus corrugatus","MY",5.528136,118.290984
"275","Anorrhinus galeritus","MY",5.392127,118.82779
"276","Rhyticeros undulatus","MY",4.280538,117.854622
"277","Buceros rhinoceros","MY",4.310167,117.828763
"278","Anthracoceros albirostris","MY",5.48988,118.276333
"279","Anorrhinus galeritus","MY",4.267828,117.815805
"280","Rhabdotorrhinus corrugatus","MY",5.471545,118.263574
"281","Rhinoplax vigil","MY",5.418664,118.293541
"282","Anthracoceros malayanus","MY",5.3635,117.510422
"283","Anthracoceros albirostris","MY",5.507442,118.290538
"284","Anthracoceros albirostris","MY",4.962863,117.801597
"285","Anthracoceros malayanus","MY",5.876818,117.805775
"286","Anthracoceros malayanus","MY",5.930923,117.888374
"287","Anthracoceros albirostris","MY",3.341585,101.246273
"288","Anthracoceros albirostris","MY",5.866685,117.955518
"289","Anorrhinus galeritus","MY",5.997786,117.842417
"290","Buceros rhinoceros","MY",5.479355,118.24018
"291","Rhabdotorrhinus corrugatus","MY",5.445323,118.356699
"292","Anthracoceros malayanus","MY",5.872141,117.9302
"293","Anorrhinus galeritus","MY",5.536891,118.378572
"294","Anthracoceros albirostris","MY",5.239341,118.71002
"295","Anthracoceros albirostris","MY",5.508605,118.282265
"296","Buceros rhinoceros","MY",4.438871,115.536896
"297","Anorrhinus galeritus","MY",5.49595,118.284134
"298","Rhabdotorrhinus corrugatus","MY",2.29987,103.65539
"299","Anorrhinus galeritus","MY",5.625598,117.13281
"300","Anthracoceros albirostris","MY",5.49595,118.284134
"301","Anthracoceros malayanus","MY",5.86684,117.94813
"302","Anthracoceros albirostris","MY",4.85347,100.74948
"303","Rhyticeros undulatus","MY",3.975366,115.618774
"304","Rhyticeros undulatus","MY",1.878351,103.919914
"305","Anthracoceros malayanus","MY",5.875803,117.94748
"306","Rhabdotorrhinus corrugatus","MY",5.53757,118.297104
"307","Buceros rhinoceros","MY",5.0198,117.7462
"308","Rhabdotorrhinus corrugatus","MY",2.842277,103.45677
"309","Buceros rhinoceros","MY",5.0198,117.7462
"310","Anthracoceros albirostris","MY",3.098136,101.51193
"311","Anthracoceros malayanus","MY",5.468624,118.187744
"312","Anthracoceros malayanus","MY",1.878351,103.919914
"313","Anthracoceros albirostris","MY",1.988402,103.91411
"314","Berenicornis comatus","MY",4.389419,102.398476
"315","Buceros rhinoceros","MY",5.239341,118.71002
"316","Anthracoceros malayanus","MY",5.876139,117.944145
"317","Buceros rhinoceros","MY",5.239341,118.71002
"318","Anthracoceros malayanus","MY",5.876139,117.944145
"319","Anthracoceros albirostris","MY",5.485703,118.287
"320","Anorrhinus galeritus","MY",5.0198,117.7462
"321","Rhyticeros undulatus","MY",5.49595,118.284134
"322","Anthracoceros malayanus","MY",5.474423,118.24059
"323","Anthracoceros malayanus","MY",5.494808,118.28339
"324","Rhyticeros undulatus","MY",4.328205,117.97724
"325","Rhyticeros undulatus","MY",4.438871,115.536896
"326","Anorrhinus galeritus","MY",5.0198,117.7462
"327","Anthracoceros malayanus","MY",5.685509,118.381195
"328","Rhabdotorrhinus corrugatus","MY",5.552004,118.33413
"329","Rhabdotorrhinus corrugatus","MY",5.508055,118.29737
"330","Anthracoceros albirostris","MY",5.491432,118.20993
"331","Rhabdotorrhinus corrugatus","MY",5.464946,118.25358
"332","Buceros rhinoceros","MY",5.239341,118.71002
"333","Rhyticeros undulatus","MY",5.485703,118.287
"334","Anorrhinus galeritus","MY",5.021232,117.74633
"335","Anthracoceros albirostris","MY",5.49595,118.284134
"336","Anorrhinus galeritus","MY",5.498167,118.280914
"337","Berenicornis comatus","MY",5.876139,117.944145
"338","Anthracoceros malayanus","MY",4.447552,115.48829
"339","Buceros bicornis","MY",6.366567,99.81818
"340","Anthracoceros albirostris","MY",5.468624,118.187744
"341","Buceros rhinoceros","MY",5.0198,117.7462
