"","pb","altitude","aspect1","preciptn","roughness1","slope","tempAvg","tempMin"
"1",1,NA,NA,NA,NA,NA,NA,NA
"2",1,57,145.00798034668,246,26,73239.3359375,256,213
"3",1,NA,NA,NA,NA,NA,NA,NA
"4",1,NA,NA,NA,NA,NA,NA,NA
"5",1,NA,NA,NA,NA,NA,NA,NA
"6",1,NA,NA,NA,NA,NA,NA,NA
"7",1,NA,NA,NA,NA,NA,NA,NA
"8",1,NA,NA,NA,NA,NA,NA,NA
"9",1,NA,NA,NA,NA,NA,NA,NA
"10",1,NA,NA,NA,NA,NA,NA,NA
"11",1,NA,NA,NA,NA,NA,NA,NA
"12",1,NA,NA,NA,NA,NA,NA,NA
"13",1,NA,NA,NA,NA,NA,NA,NA
"14",1,NA,NA,NA,NA,NA,NA,NA
"15",1,NA,NA,NA,NA,NA,NA,NA
"16",1,NA,NA,NA,NA,NA,NA,NA
"17",1,NA,NA,NA,NA,NA,NA,NA
"18",1,NA,NA,NA,NA,NA,NA,NA
"19",1,NA,NA,NA,NA,NA,NA,NA
"20",1,NA,NA,NA,NA,NA,NA,NA
"21",1,101,283.309173583984,170,198,860100.5625,246,204
"22",1,NA,NA,NA,NA,NA,NA,NA
"23",1,NA,NA,NA,NA,NA,NA,NA
"24",1,NA,NA,NA,NA,NA,NA,NA
"25",1,NA,NA,NA,NA,NA,NA,NA
"26",1,NA,NA,NA,NA,NA,NA,NA
"27",1,NA,NA,NA,NA,NA,NA,NA
"28",1,NA,NA,NA,NA,NA,NA,NA
"29",1,NA,NA,NA,NA,NA,NA,NA
"30",1,NA,NA,NA,NA,NA,NA,NA
"31",1,NA,NA,NA,NA,NA,NA,NA
"32",1,NA,NA,NA,NA,NA,NA,NA
"33",1,NA,NA,NA,NA,NA,NA,NA
"34",1,NA,NA,NA,NA,NA,NA,NA
"35",1,26,230.017974853516,39,178,436543.8125,268,215
"36",1,NA,NA,NA,NA,NA,NA,NA
"37",1,NA,NA,NA,NA,NA,NA,NA
"38",1,NA,NA,NA,NA,NA,NA,NA
"39",1,NA,NA,NA,NA,NA,NA,NA
"40",1,NA,NA,NA,NA,NA,NA,NA
"41",1,NA,NA,NA,NA,NA,NA,NA
"42",1,NA,NA,NA,NA,NA,NA,NA
"43",1,NA,NA,NA,NA,NA,NA,NA
"44",1,NA,NA,NA,NA,NA,NA,NA
"45",1,NA,NA,NA,NA,NA,NA,NA
"46",1,NA,NA,NA,NA,NA,NA,NA
"47",1,NA,NA,NA,NA,NA,NA,NA
"48",1,NA,NA,NA,NA,NA,NA,NA
"49",1,NA,NA,NA,NA,NA,NA,NA
"50",1,NA,NA,NA,NA,NA,NA,NA
"51",1,NA,NA,NA,NA,NA,NA,NA
"52",1,74,NA,39,NA,NA,265,213
"53",1,74,NA,39,NA,NA,265,213
"54",1,74,NA,39,NA,NA,265,213
"55",1,74,NA,39,NA,NA,265,213
"56",1,74,NA,39,NA,NA,265,213
"57",1,74,NA,39,NA,NA,265,213
"58",1,74,NA,39,NA,NA,265,213
"59",1,1257,126.060440063477,273,200,191119.078125,180,137
"60",1,74,NA,39,NA,NA,265,213
"61",1,74,NA,39,NA,NA,265,213
"62",1,74,NA,39,NA,NA,265,213
"63",1,1257,126.060440063477,273,200,191119.078125,180,137
"64",1,1257,126.060440063477,273,200,191119.078125,180,137
"65",1,74,NA,39,NA,NA,265,213
"66",1,74,NA,39,NA,NA,265,213
"67",1,74,NA,39,NA,NA,265,213
"68",1,74,NA,39,NA,NA,265,213
"69",1,74,NA,39,NA,NA,265,213
"70",1,74,NA,39,NA,NA,265,213
"71",1,1257,126.060440063477,273,200,191119.078125,180,137
"72",1,1257,126.060440063477,273,200,191119.078125,180,137
"73",1,74,NA,39,NA,NA,265,213
"74",1,74,NA,39,NA,NA,265,213
"75",1,74,NA,39,NA,NA,265,213
"76",1,74,NA,39,NA,NA,265,213
"77",1,74,NA,39,NA,NA,265,213
"78",1,74,NA,39,NA,NA,265,213
"79",1,NA,NA,NA,NA,NA,NA,NA
"80",1,NA,NA,NA,NA,NA,NA,NA
"81",1,NA,NA,NA,NA,NA,NA,NA
"82",1,NA,NA,NA,NA,NA,NA,NA
"83",1,NA,NA,NA,NA,NA,NA,NA
"84",1,NA,NA,NA,NA,NA,NA,NA
"85",1,114,107.736885070801,115,445,2102438.25,260,217
"86",1,146,337.66455078125,180,197,418389.78125,242,201
"87",1,146,337.66455078125,180,197,418389.78125,242,201
"88",1,146,337.66455078125,180,197,418389.78125,242,201
"89",1,146,337.66455078125,180,197,418389.78125,242,201
"90",1,146,337.66455078125,180,197,418389.78125,242,201
"91",1,146,337.66455078125,180,197,418389.78125,242,201
"92",1,146,337.66455078125,180,197,418389.78125,242,201
"93",1,146,337.66455078125,180,197,418389.78125,242,201
"94",1,146,337.66455078125,180,197,418389.78125,242,201
"95",1,146,337.66455078125,180,197,418389.78125,242,201
"96",1,146,337.66455078125,180,197,418389.78125,242,201
"97",1,146,337.66455078125,180,197,418389.78125,242,201
"98",1,146,337.66455078125,180,197,418389.78125,242,201
"99",1,146,337.66455078125,180,197,418389.78125,242,201
"100",1,146,337.66455078125,180,197,418389.78125,242,201
"101",1,146,337.66455078125,180,197,418389.78125,242,201
"102",1,NA,NA,NA,NA,NA,NA,NA
"103",1,NA,NA,NA,NA,NA,NA,NA
"104",1,NA,NA,NA,NA,NA,NA,NA
"105",1,NA,NA,NA,NA,NA,NA,NA
"106",1,NA,NA,NA,NA,NA,NA,NA
"107",1,NA,NA,NA,NA,NA,NA,NA
"108",1,NA,NA,NA,NA,NA,NA,NA
"109",1,NA,NA,NA,NA,NA,NA,NA
"110",1,NA,NA,NA,NA,NA,NA,NA
"111",1,NA,NA,NA,NA,NA,NA,NA
"112",1,NA,NA,NA,NA,NA,NA,NA
"113",1,NA,NA,NA,NA,NA,NA,NA
"114",1,NA,NA,NA,NA,NA,NA,NA
"115",1,NA,NA,NA,NA,NA,NA,NA
"116",1,NA,NA,NA,NA,NA,NA,NA
"117",1,NA,NA,NA,NA,NA,NA,NA
"118",1,NA,NA,NA,NA,NA,NA,NA
"119",1,NA,NA,NA,NA,NA,NA,NA
"120",1,NA,NA,NA,NA,NA,NA,NA
"121",1,NA,NA,NA,NA,NA,NA,NA
"122",1,NA,NA,NA,NA,NA,NA,NA
"123",1,NA,NA,NA,NA,NA,NA,NA
"124",1,NA,NA,NA,NA,NA,NA,NA
"125",1,NA,NA,NA,NA,NA,NA,NA
"126",1,NA,NA,NA,NA,NA,NA,NA
"127",1,NA,NA,NA,NA,NA,NA,NA
"128",1,NA,NA,NA,NA,NA,NA,NA
"129",1,NA,NA,NA,NA,NA,NA,NA
"130",1,NA,NA,NA,NA,NA,NA,NA
"131",1,NA,NA,NA,NA,NA,NA,NA
"132",1,NA,NA,NA,NA,NA,NA,NA
"133",1,NA,NA,NA,NA,NA,NA,NA
"134",1,NA,NA,NA,NA,NA,NA,NA
"135",1,NA,NA,NA,NA,NA,NA,NA
"136",1,NA,NA,NA,NA,NA,NA,NA
"137",1,NA,NA,NA,NA,NA,NA,NA
"138",1,159,250.529693603516,179,96,315014.28125,243,201
"139",1,159,250.529693603516,179,96,315014.28125,243,201
"140",1,1542,49.1118278503418,255,405,1982172.625,167,124
"141",1,330,232.454925537109,138,448,1782123.75,247,203
"142",1,159,250.529693603516,179,96,315014.28125,243,201
"143",1,20,272.505096435547,39,127,480459.15625,269,216
"144",1,20,272.505096435547,39,127,480459.15625,269,216
"145",1,966,217.728820800781,201,302,1340850.625,206,161
"146",1,244,303.472778320312,76,218,987234.75,254,205
"147",1,244,303.472778320312,76,218,987234.75,254,205
"148",1,244,303.472778320312,76,218,987234.75,254,205
"149",1,244,303.472778320312,76,218,987234.75,254,205
"150",1,3,270,170,5,12000,268,219
"151",1,1257,126.060440063477,273,200,191119.078125,180,137
"152",1,28,230.042449951172,202,14,72405.109375,267,214
"153",1,13,NA,182,NA,NA,268,219
"154",1,13,NA,182,NA,NA,268,219
"155",1,26,230.017974853516,39,178,436543.8125,268,215
"156",1,26,230.017974853516,39,178,436543.8125,268,215
"157",1,NA,NA,NA,NA,NA,NA,NA
"158",1,1257,126.060440063477,273,200,191119.078125,180,137
"159",1,NA,NA,NA,NA,NA,NA,NA
"160",1,NA,NA,NA,NA,NA,NA,NA
"161",1,NA,NA,NA,NA,NA,NA,NA
"162",1,NA,NA,NA,NA,NA,NA,NA
"163",1,NA,NA,NA,NA,NA,NA,NA
"164",1,NA,NA,NA,NA,NA,NA,NA
"165",1,NA,NA,NA,NA,NA,NA,NA
"166",1,NA,NA,NA,NA,NA,NA,NA
"167",1,NA,NA,NA,NA,NA,NA,NA
"168",1,NA,NA,NA,NA,NA,NA,NA
"169",1,NA,NA,NA,NA,NA,NA,NA
